"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100190054010661_ereg_212",0.427,0.436,0.525,0.209,0.102,0.241,0.194,0,0.194
"100190156010661_ereg_212",0.479,0.744,0.726,0.558,0.527,0.624,0.5,0,0.5
"100190326010478_ereg_M221",0.84,0.664,0.518,0.406,0.189,0.553,0,0,0
"100190399010661_ereg_212",0.264,0.131,0,0.464,0.887,0.145,0.228,0,0.228
"100190442010478_ereg_M221",1.068,1.051,0.665,0.633,0.365,0.674,0.405,0,0.405
"100190452010661_ereg_212",0.531,0.582,1.466,0.785,0.474,0.962,0.446,0,0.446
"100190596010478_ereg_M221",0.369,0.46,0.64,0.245,0.236,0.904,0.464,0,0.464
"100190664010661_ereg_212",0.208,0.51,0.629,0.251,0.44,0.187,0,0,0
"100190701010478_ereg_M221",0.544,0.545,0.907,0.524,0.254,0.43,0.049,0,0.049
"100190754010661_ereg_212",0.53,1.005,0.588,0.869,0.937,0.55,0,0,0
"100190909010478_ereg_M221",0.745,1.186,0.761,0.333,0.256,0.312,0,0,0
"100190982010661_ereg_212",0.41,0.391,0.366,0.404,0.535,0.543,0.215,0,0.215
"100191055010478_ereg_M221",0.749,1.147,0.914,0.388,0.15,0.519,0.351,0,0.351
"100191116010478_ereg_M221",0.93,1.102,0.581,0.819,0.84,0.291,0,0,0
"100191143010661_ereg_212",0.867,1.22,1.114,0.529,0.247,0.573,0.49,0,0.49
"100191165010478_ereg_M221",0.665,0.829,0.52,0.312,0.106,0.377,0,0,0
"100191228010478_ereg_M221",0.988,0.652,0.512,0.752,0.455,0.894,0.391,0,0.391
"100191300010478_ereg_M221",1.135,1.024,0.695,0.805,0.385,0.87,0.425,0,0.425
"100191372010478_ereg_M221",0.811,0.889,0.788,0.365,0.152,0.16,0.07,0,0.07
"100191525010478_ereg_M221",1.018,0.683,0.548,0.568,0.362,0.597,0,0,0
"100191655010478_ereg_M221",0.523,1.002,0.698,0.474,0.77,0.306,0,0,0
"100191832010478_ereg_232",0.839,0.804,0.746,0.636,0.229,0.452,0.322,0,0.322
"100192068010478_ereg_232",0.558,0.313,1.287,0.677,0.258,0.737,0.451,0,0.451
"100192274010661_ereg_212",0.337,0.381,0.171,0.37,0.243,0.243,0.27,0,0.27
"100192484010478_ereg_231",0.916,0.885,0.728,0.564,0.263,0.39,0.258,0,0.258
"100192538010661_ereg_212",0.555,0.582,1.079,0.528,0.346,0.312,0.387,0,0.387
"100193070010661_ereg_212",0.394,1.016,0.376,0.753,0.742,0.533,0,0,0
"100193152010478_ereg_232",0.99,1.206,0.464,0.747,0.295,0.665,0.5,0,0.5
"100193180010661_ereg_212",0.847,0.786,0.504,0.536,0.712,0.599,0,0,0
"100193427010478_ereg_231",0.71,0.774,0.571,0.777,0.529,0.771,0,0,0
"100193464010661_ereg_212",0.295,0.347,0.17,0.332,0.216,0.31,0.24,0,0.24
"100193557010478_ereg_231",0.733,0.654,0.686,0.481,0.205,0.214,0,0,0
"100193666010478_ereg_231",0.488,0.616,0.524,0.367,0.206,0.343,0.108,0,0.108
"100194115010478_ereg_232",0.903,1.133,0.454,0.4,0.172,0.511,0,0,0
"100194430010661_ereg_212",0.615,0.535,0.28,0.509,0.328,0.205,0,0,0
"100194986010661_ereg_212",0.749,0.586,0.284,0.466,0.375,0.071,0,0,0
"100195201010661_ereg_212",1.047,0.59,0.397,0.488,0.41,0.7,0,0,0
"100195308010661_ereg_212",0.165,0.321,0.37,1.145,0.514,0.738,0,0,0
"100195360010478_ereg_232",1.058,0.753,0.986,0.804,0.261,0.597,0.496,0,0.496
"100195419010661_ereg_212",1.513,0.926,0.288,0.471,0.464,0.124,0,0,0
"100195577010478_ereg_232",0.383,0.328,1.038,0.756,0.349,0.638,0.502,0,0.502
"100195934010661_ereg_212",0.116,0.236,0.179,0.288,0.36,0.247,0,0,0
"100196153010661_ereg_212",0.253,0.497,0.467,0.473,0.679,0.62,0.253,0,0.253
"100196336010478_ereg_231",0.533,0.443,0.778,0.787,0.367,0.606,0.258,0,0.258
"100196443010661_ereg_212",0.918,1.191,1.245,0.623,0.554,0.643,0.492,0,0.492
"100196769010661_ereg_222",0.896,0.687,0.702,0.456,0.099,0.257,0.137,0,0.137
"100196865010478_ereg_231",0.702,0.677,0.593,0.132,0.237,0.198,0,0,0
"100197127010478_ereg_231",0.91,0.887,0.89,0.39,0.584,0.337,0.13,0,0.13
"100197194010661_ereg_212",1.15,0.799,0.992,0.561,0.402,0.461,0.314,0,0.314
"100197272010478_ereg_231",1.26,0.626,0.927,0.5,0.585,1.017,0.276,0,0.276
"100197706010478_ereg_231",0.602,0.93,0.697,0.417,0.302,0.973,0.092,0,0.092
"100197821010478_ereg_231",0.747,0.958,0.596,0.346,0.661,0.761,0,0,0
"100198032010661_ereg_212",0.222,0.932,0.759,0.629,0.789,1.632,0,0,0
"100198130010478_ereg_232",0.793,0.843,0.993,0.774,0.251,0.573,0.466,0,0.466
"100198267010661_ereg_212",0.1,0.461,1.182,0.231,0.113,0.284,0.096,0,0.096
"100198346010478_ereg_231",0.639,0.566,1.181,0.728,0.441,0.587,0.496,0,0.496
"100198851010661_ereg_222",0.784,0.534,0.314,0.502,0.193,1.007,0.291,0,0.291
"100198939010478_ereg_232",0.777,0.715,1.171,0.652,0.323,0.538,0.458,0,0.458
"100198952010661_ereg_222",0.345,0.448,0.459,0.336,0.131,0.302,0.17,0,0.17
"100199196010661_ereg_222",0.142,0.356,0.529,0.171,0.193,0.216,0.193,0,0.193
"100199338010661_ereg_212",0.719,0.631,0.257,0.473,0.461,0.454,0.45,0,0.45
"100199439010661_ereg_212",0.361,0.657,0.481,0.852,0.952,0.441,0.121,0,0.121
"100199562010661_ereg_212",1.186,0.812,0.382,0.627,0.555,0.104,0,0,0
"100199705010661_ereg_212",1.388,0.844,0.298,0.595,0.573,0.245,0,0,0
"100199749010478_ereg_231",0.231,0.407,0.258,0.331,0.271,0.229,0,0,0
"100199835010478_ereg_231",0.837,0.865,1.028,0.728,0.672,0.76,0.466,0,0.466
"100199998010478_ereg_221",0.752,1.167,0.592,0.406,0.278,0.257,0,0,0
"100200233010661_ereg_212",1.067,0.725,0.346,0.632,1.043,0.28,0,0,0
"100200629010478_ereg_M221",0.587,0.61,0.389,0.789,0.436,0.889,0.384,0,0.384
"100200687010478_ereg_231",0.595,0.644,0.341,0.597,0.401,0.559,0.234,0,0.234
"100200831010661_ereg_222",0.806,0.866,0.379,0.343,0.343,0.194,0,0,0
"100200920010478_ereg_231",0.516,0.74,0.291,0.292,0.242,0.251,0.112,0,0.112
"100201037010478_ereg_231",1.043,0.891,0.739,0.723,0.315,0.487,0.364,0,0.364
"100201304010661_ereg_212",0.788,1.079,1.235,0.755,1.338,0.58,0.485,0,0.485
"100201455010478_ereg_M221",1.102,0.957,0.988,0.748,0.425,0.714,0.229,0,0.229
"100201679010478_ereg_231",0.222,0.47,0.706,0.638,0.826,0.576,0.304,0,0.304
"100202150010478_ereg_M221",0.751,0.881,0.845,0.479,0.233,0.337,0,0,0
"100202323010478_ereg_231",0.535,0.522,0.376,0.623,0.425,0.462,0,0,0
"100202399010478_ereg_231",0.934,0.953,0.484,0.834,0.565,0.78,0.408,0,0.408
"100202469010478_ereg_231",0.254,0.337,0.162,0.717,0.412,0.583,0,0,0
"100202538010661_ereg_212",0.416,0.893,0.831,0.724,0.765,1.453,0.291,0,0.291
"100202675010661_ereg_212",0.504,0.334,0.236,0.881,0.526,0.718,0.361,0,0.361
"100202787010661_ereg_212",0.784,0.899,0.681,0.861,0.564,0.639,0.374,0,0.374
"100202906010478_ereg_M221",0.56,0.747,0.306,0.445,0.288,0.615,0.219,0,0.219
"100202965010661_ereg_212",0.427,0.753,0.593,0.598,0.641,0.738,0.175,0,0.175
"100203109010478_ereg_M221",0.73,1.141,0.962,0.598,0.404,0.65,0.444,0,0.444
"100203198010661_ereg_212",0.444,1.053,0.281,0.78,0.739,0.284,0,0,0
"100203242010478_ereg_M221",0.566,0.017,0.091,0.156,0.19,0.118,0,0,0
"100203328010478_ereg_M221",0.74,0.878,0.517,0.7,0.418,0.705,0.268,0,0.268
"100203430010661_ereg_212",0.699,0.787,0.589,1.041,0.626,1.034,0.458,0,0.458
"100203537010478_ereg_M221",0.359,0.582,0.181,0.247,0.239,0.375,0,0,0
"100203601010478_ereg_M221",0.486,0.753,0.519,0.458,0.186,0.64,0.266,0,0.266
"100203677010478_ereg_M221",0.579,0.928,0.728,0.631,0.263,0.796,0.352,0,0.352
"100203713010661_ereg_212",0.495,0.378,0.038,0.507,0.251,0.108,0,0,0
"100203741010478_ereg_M221",0.625,0.579,0.195,0.265,0.916,0.21,0,0,0
"100203814010661_ereg_212",0.549,0.842,0.262,0.69,0.877,0.627,0.434,0,0.434
"100203867010661_ereg_212",0.549,0.645,0.516,0.58,0.801,0.775,0.346,0,0.346
"100203891010478_ereg_M221",0.736,0.61,0.564,0.649,0.434,0.773,0.487,0,0.487
"100203987010478_ereg_M221",0.468,0.568,0.349,0.744,0.435,0.64,0.113,0,0.113
"100203998010661_ereg_212",0.527,0.693,0.25,0.393,0.348,0.603,0.092,0,0.092
"100204053010478_ereg_M221",0.343,0.461,0.415,0.38,0.219,0.382,0.139,0,0.139
"100204108010661_ereg_212",0.735,0.853,0.574,0.56,0.479,0.381,0,0,0
"100204160010478_ereg_M221",1.103,0.599,0.395,0.468,0.335,0.344,0,0,0
"100204299010661_ereg_212",0.277,0.833,0.745,0.723,0.809,1.102,0.16,0,0.16
"100204343010478_ereg_M221",0.729,0.71,0.506,0.693,0.447,0.865,0.495,0,0.495
"100204444010478_ereg_M221",0.278,0.429,0.115,0.74,0.42,0.616,0,0,0
"100204523010478_ereg_M221",0.702,0.825,0.56,0.87,0.428,1.116,0.491,0,0.491
"100204607010478_ereg_M221",0.658,0.887,0.62,0.891,0.766,1.217,0.244,0,0.244
"100204788010661_ereg_212",0.516,0.822,0.679,0.692,0.663,0.983,0.5,0,0.5
"100204953010661_ereg_212",0.614,0.822,0.44,0.484,0.371,0.082,0,0,0
"100205155010478_ereg_M221",0.477,0.311,0.365,0.165,0.307,0.109,0,0,0
"100205204010661_ereg_212",0.462,0.453,0.16,0.432,0.21,0.346,0,0,0
"100205339010661_ereg_212",1.005,0.861,1.411,0.831,0.437,0.793,0.473,0,0.473
"100205493010478_ereg_231",0.691,0.792,0.986,0.596,0.332,0.35,0.181,0,0.181
"100205646010478_ereg_M221",0.377,0.459,0.181,0.571,0.292,0.525,0.171,0,0.171
"100205730010478_ereg_231",0.785,1.023,0.738,0.487,0.26,0.318,0,0,0
"100205940010478_ereg_M221",1.015,0.736,0.529,0.253,0.712,0.495,0,0,0
"100206047010478_ereg_M221",0.62,0.945,0.751,0.547,0.239,0.78,0.355,0,0.355
"100206216010661_ereg_212",0.767,0.344,0.174,0.395,0.436,0.348,0,0,0
"100206318010661_ereg_212",0.45,0.711,1.008,0.5,0.611,0.443,0.412,0,0.412
"100206506010661_ereg_212",0.844,0.551,0.327,0.226,0.272,0.076,0,0,0
"100206536010478_ereg_M221",0.822,1.08,0.724,0.572,0.312,0.498,0,0,0
"100206660010478_ereg_M221",0.451,0.766,0.379,0.216,0.113,0.319,0,0,0
"100206870010478_ereg_M221",0.737,0.819,0.513,0.893,0.395,1.16,0.5,0,0.5
