"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"61068117010478_ereg_232",0.313,0.4,0.222,0.019,0.03,0.244,0,0,0
"61070781010478_ereg_M221",1,0.79,0.833,0.852,0.373,1.195,0.497,0,0.497
"61071290010478_ereg_231",0.956,0.626,0.827,0.615,0.395,0.512,0.402,0,0.402
"61072224010478_ereg_232",0,0,0,0,0,0,0,0,0
"61075176010478_ereg_231",0.798,1.353,0.69,0.444,1.264,0.472,0,0,0
"61075620010478_ereg_231",0.149,0.234,0.335,0.116,0.369,0.242,0,0,0
"61075905010478_ereg_232",0.104,0.254,0.573,0.742,0.527,0.588,0.499,0,0.499
"61076391010478_ereg_232",0.255,0.36,0.229,0.323,0.146,0.19,0.203,0.076,0.216
"61078519010478_ereg_232",0.769,0.474,1.087,0.739,0.482,0.479,0.477,0,0.477
"61082672010478_ereg_231",1.078,1.076,0.916,0.748,0.274,1.013,0.477,0,0.477
"61083383010478_ereg_232",0.7,0.668,1.01,0.705,0.395,0.436,0.453,0,0.453
"61088182010478_ereg_232",0.217,0.252,0.19,0.176,0.15,0.049,0,0,0
"61088619010478_ereg_232",0.719,0.341,0.802,0.518,0.177,0.327,0.358,0,0.358
"61089276010478_ereg_232",0.376,0.304,0.72,0.509,0.17,0.471,0.38,0,0.38
"61092813010478_ereg_232",0.21,0.416,0.753,0.91,0.471,0.718,0.496,0,0.496
"61094981010478_ereg_232",0.063,0.289,0.305,0.675,0.41,0.437,0.391,0,0.391
"61096293010478_ereg_232",0.254,0.482,0.362,0.387,0.167,0.299,0.202,0,0.202
"61116024010478_ereg_231",0.89,1.061,0.499,0.829,0.607,0.918,0.479,0,0.479
"61129956010478_ereg_232",0.954,0.771,0.248,0.173,0.033,0.337,0.202,0.202,0
"61133693010478_ereg_232",0.028,0.13,0.137,0.304,0.185,0.197,0.176,0,0.176
"61133855010478_ereg_232",0.68,0.4,0.469,0.147,0.379,0.254,0,0,0
"61134417010478_ereg_231",0.769,0.586,1.081,0.906,0.801,0.547,0.5,0,0.5
"61136977010478_ereg_232",0.586,0.445,0.485,0.184,0.219,0.146,0,0,0
"61137296010478_ereg_M221",0.688,0.764,0.782,0.6,0.437,0.905,0.249,0,0.249
"61137443010478_ereg_M221",0.832,1.07,0.513,0.568,0.357,0.462,0.502,0,0.502
"61139178010478_ereg_231",0.295,0.38,0.167,0.364,0.147,0.554,0.157,0,0.157
"61143566010478_ereg_231",0.837,0.907,0.439,0.738,1.153,0.589,0.407,0,0.407
"61144520010478_ereg_231",0.066,0.179,0.668,0.49,0.195,0.486,0.368,0,0.368
"61146058010478_ereg_M221",0.666,1.07,1.363,0.358,0.303,0.661,0.484,0,0.484
"61150104010478_ereg_231",0.302,0.401,0.672,0.749,0.2,0.566,0.403,0,0.403
"61150267010478_ereg_231",0.21,0.163,0.669,0.524,0.393,0.521,0.35,0,0.35
"61151458010478_ereg_232",0.196,0.184,0.106,0.158,0.281,0.218,0,0,0
"61151838010478_ereg_232",0.401,0.348,0.166,0.457,0.208,0.279,0.291,0,0.291
"61152761010478_ereg_231",0.468,0.335,0.958,0.661,0.392,0.577,0.462,0,0.462
"61153894010478_ereg_232",0.521,0.493,0.989,0.559,0.249,0.39,0.374,0,0.374
"61154332010478_ereg_232",0.044,0.203,0.215,0.476,0.289,0.308,0.275,0,0.275
"61158318010478_ereg_232",0.898,0.505,0.817,0.44,0.226,0.355,0.299,0,0.299
"61161037010478_ereg_232",0.209,0.291,0.889,0.657,0.218,0.666,0.503,0,0.503
"61161156010478_ereg_232",0.136,0.198,0.21,0.205,0.208,0.121,0,0,0
"61161991010478_ereg_231",0.49,0.474,0.96,0.696,0.231,0.679,0.525,0,0.525
"61162868010478_ereg_232",0.449,0.288,0.248,0.207,0.188,0.079,0,0,0
"61164121010478_ereg_232",0.615,0.752,0.406,0.165,0.203,0.317,0.279,0.279,0
"61164298010478_ereg_232",0.283,0.49,0.712,0.835,0.408,0.621,0.415,0.115,0.423
"61165593010478_ereg_231",0.801,0.865,0.915,0.731,0.93,0.554,0.488,0,0.488
"61167504010478_ereg_232",0.367,0.177,0.524,0.059,0.059,0.079,0,0,0
"61168165010478_ereg_232",0.454,0.171,0.792,0.667,0.329,0.499,0.324,0,0.324
"61168981010478_ereg_231",0.912,1.03,0.487,0.819,0.293,0.951,0.501,0,0.501
"61173556010478_ereg_232",0.099,0.341,0.475,0.819,0.492,0.573,0.501,0,0.501
"61175029010478_ereg_232",0.327,0.429,0.498,0.357,0.197,0.207,0.226,0,0.226
"61179081010478_ereg_232",0.137,0.334,0.392,0.811,0.473,0.64,0.479,0,0.479
"61182957010478_ereg_231",0.126,0.202,0.683,0.515,0.209,0.505,0.384,0,0.384
"61185477010478_ereg_231",0.513,0.468,0.971,0.876,0.467,0.695,0.502,0,0.502
"61185673010478_ereg_232",0.344,0.488,0.342,0.759,0.463,0.49,0.443,0,0.443
"61185843010478_ereg_232",0.735,0.701,0.438,0.645,0.313,0.44,0.407,0,0.407
"61187243010478_ereg_232",0.575,0.223,0.72,0.564,0.572,0.28,0.313,0,0.313
"61187520010478_ereg_232",0.984,0.617,0.591,0.452,0.153,0.781,0.391,0.391,0
"61198652010478_ereg_232",0.113,0.138,0.372,0.018,0.024,0,0,0,0
"61199676010478_ereg_231",0.434,0.397,0.978,0.605,0.327,0.956,0.39,0,0.39
"61204694010478_ereg_232",0.697,0.366,0.268,0.177,0.21,0.114,0,0,0
"61204844010478_ereg_232",0.42,0.496,0.842,0.882,0.82,0.524,0.425,0,0.425
"61204927010478_ereg_M221",1.129,1.596,1.278,0.584,0.217,0.725,0.486,0,0.486
"61208533010478_ereg_231",0.61,0.418,0.539,0.714,0.561,0.349,0.236,0,0.236
"61213841010478_ereg_231",0.211,0.274,0.271,0.37,0.21,0.094,0,0,0
"61216513010478_ereg_232",0.712,0.745,0.719,0.471,0.284,0.332,0.237,0,0.237
"61217230010478_ereg_231",0.028,0.166,0.582,0.435,0.144,0.446,0.334,0,0.334
"61218053010478_ereg_231",0.293,0.385,0.767,0.601,0.435,0.454,0.338,0,0.338
"61223338010478_ereg_231",0.481,0.183,0.503,0.34,0.3,0.252,0.077,0,0.077
"61223587010478_ereg_231",1.022,0.531,0.904,0.589,0.366,0.882,0.491,0,0.491
"61225967010478_ereg_M221",0.375,0.449,0.196,0.196,0.043,0.409,0,0,0
"61226038010478_ereg_232",0.744,0.762,0.438,0.296,0.222,0.169,0,0,0
"61229460010478_ereg_232",0.804,0.317,0.738,0.475,0.262,0.321,0.312,0,0.312
"61229860010478_ereg_231",0.819,0.772,1.028,0.767,0.464,0.432,0.357,0,0.357
"61230445010478_ereg_231",0.491,0.661,0.908,1.138,1.407,0.981,0.49,0,0.49
"61235581010478_ereg_231",1.265,0.798,1.146,0.847,0.27,1.117,0.484,0,0.484
"61238626010478_ereg_232",0.194,0.3,0.399,0.152,0.112,0.17,0.205,0.205,0
"61242081010478_ereg_232",0.261,0.626,0.692,0.621,0.354,0.312,0.185,0,0.185
"61242136010478_ereg_232",0.201,0.243,0.046,0.095,0.088,0.03,0,0,0
"61244686010478_ereg_232",0.531,0.436,0.847,0.18,0.214,0.34,0.363,0.363,0
"61245925010478_ereg_231",0.963,1.361,0.64,0.653,0.219,0.446,0.306,0,0.306
"61248552010478_ereg_231",0.717,0.672,0.593,0.994,0.718,1.017,0.457,0,0.457
"61248743010478_ereg_231",0.908,0.534,0.764,0.74,0.627,0.556,0.298,0,0.298
"61251203010478_ereg_232",0.134,0.138,0.072,0.066,0.07,0.027,0,0,0
"61252243010478_ereg_232",0.772,1.374,1.821,0.589,0.471,0.272,0.148,0.419,0.433
"61253747010478_ereg_231",0.977,0.974,0.733,0.917,0.287,0.641,0.419,0,0.419
"61258618010478_ereg_232",0.463,0.639,0.247,0.131,0.185,0.226,0.178,0.178,0
"61260486010478_ereg_231",0.621,0.891,0.371,0.314,0.811,0.5,0,0,0
"61294369010478_ereg_231",1.305,0.735,0.768,0.451,0.668,0.7,0.224,0,0.224
"61294685010478_ereg_231",0.654,0.358,0.446,0.485,0.35,0.399,0,0,0
"61295298010478_ereg_232",0.881,0.534,0.387,0.487,0.83,0.171,0.086,0.086,0
"61297142010478_ereg_231",0.691,0.684,0.885,0.716,0.459,0.658,0.472,0,0.472
"61297676010478_ereg_231",0.6,0.247,0.405,0.301,0.132,0.506,0,0,0
"61297986010478_ereg_231",0.721,0.765,0.405,0.837,0.57,0.678,0.5,0,0.5
"61298516010478_ereg_231",0.971,0.663,0.374,0.469,0.661,0.862,0.09,0,0.09
"61299949010478_ereg_231",0.882,1.029,0.837,0.448,0.493,0.325,0.143,0,0.143
"61300722010478_ereg_231",0.844,0.537,0.513,0.368,0.34,0.476,0.128,0,0.128
"61300970010478_ereg_231",0.505,0.455,0.76,0.427,0.441,0.444,0.413,0,0.413
"61301208010478_ereg_231",0.298,0.236,0.864,0.558,0.427,0.489,0.375,0,0.375
"61301549010478_ereg_231",0.353,0.24,0.568,0.407,0.129,0.414,0.292,0,0.292
"61302089010478_ereg_232",0.076,0.117,0.122,0.118,0.092,0.023,0,0,0
"61302385010478_ereg_232",0.777,0.502,0.96,0.627,0.345,0.473,0.41,0,0.41
"61302541010478_ereg_231",0.357,0.551,1.009,1.073,0.957,0.83,0.497,0,0.497
"61302810010478_ereg_231",0.496,0.448,0.858,1.182,0.323,0.714,0.4,0,0.4
"61302935010478_ereg_231",0.27,0.213,0.667,0.399,0.173,0.347,0.277,0,0.277
"61303120010478_ereg_231",0.452,0.541,0.296,0.375,0.389,0.245,0,0,0
"61303319010478_ereg_231",0.337,0.219,0.448,0.29,0.099,0.189,0.201,0,0.201
"61303877010478_ereg_232",0.437,0.325,0.389,1.001,0.876,0.458,0.468,0,0.468
"61305952010478_ereg_232",0.9,0.33,1.19,0.673,0.249,0.494,0.486,0,0.486
"61307173010478_ereg_232",0.67,0.889,0.792,0.494,0.441,0.344,0,0,0
"61308651010478_ereg_232",0.246,0.748,0.773,0.424,0.17,0.103,0,0.28,0.28
"61308747010478_ereg_232",0.591,0.249,1.295,0.763,0.415,0.558,0.5,0.111,0.499
"61309428010478_ereg_232",0.501,0.548,0.786,0.745,0.382,0.577,0.498,0,0.498
"61309559010478_ereg_232",0.794,0.419,0.254,0.122,0.204,0.141,0,0,0
"61311007010478_ereg_231",1.014,1.26,1.04,0.524,0.266,0.659,0.39,0,0.39
"61311090010478_ereg_M221",0.688,0.814,0.884,0.68,0.21,0.624,0.446,0,0.446
"61311176010478_ereg_231",0.625,0.745,0.358,0.31,0.306,0.215,0,0,0
"61311398010478_ereg_M221",0.989,0.559,0.714,0.761,0.56,0.579,0.191,0,0.191
"61311587010478_ereg_232",0.31,0.583,0.712,0.466,0.343,0.168,0,0,0
"61314079010478_ereg_231",0.977,0.767,0.995,0.756,0.49,0.563,0.406,0,0.406
"61315114010478_ereg_231",0.661,0.385,1.01,0.611,0.182,0.587,0.395,0,0.395
"61315205010478_ereg_232",0.55,0.677,0.293,0.633,0.598,0.594,0.366,0,0.366
"61315600010478_ereg_232",0.18,0.202,0.324,0.491,0.152,0.35,0.251,0,0.251
"61316389010478_ereg_231",0.809,0.622,0.761,0.535,0.778,0.483,0.286,0,0.286
"61317218010478_ereg_231",0.217,0.213,0.729,0.472,0.176,0.459,0.359,0,0.359
"61319622010478_ereg_231",0.972,0.624,0.91,0.901,0.537,0.598,0.394,0,0.394
"61319732010478_ereg_M221",1.052,0.904,0.728,0.741,0.404,0.657,0,0,0
"61320867010478_ereg_231",0.946,0.955,0.75,0.722,0.465,0.386,0,0,0
"61321656010478_ereg_232",0.137,0.055,0.576,0.261,0.14,0.122,0.104,0,0.104
"61322032010478_ereg_M221",1.306,0.734,1.012,0.67,0.526,0.955,0.45,0,0.45
"61322133010478_ereg_M221",1.282,0.774,0.861,0.685,0.348,1.004,0.396,0,0.396
"61322297010478_ereg_M221",1.04,0.922,0.755,0.593,0.252,0.666,0.249,0,0.249
"61322477010478_ereg_M221",0.817,0.597,0.417,0.405,0.172,0.566,0.179,0,0.179
"61322941010478_ereg_232",0.605,0.509,0.43,0.623,0.44,0.322,0,0,0
"61323369010478_ereg_232",0.303,0.112,0.301,0.159,0.035,0.151,0,0,0
"61325652010478_ereg_231",0.513,0.694,0.326,0.315,0.123,0.424,0,0,0
"61325956010478_ereg_232",0.68,0.613,1.039,0.715,0.388,0.738,0.484,0,0.484
"61327057010478_ereg_232",0.659,0.346,0.226,0.098,0.222,0.102,0,0,0
"61327344010478_ereg_232",0.334,0.326,0.485,0.357,0.255,0.159,0.108,0,0.108
"61328820010478_ereg_232",0.206,0.687,0.927,0.733,0.411,0.462,0.317,0.084,0.309
"61328938010478_ereg_232",0.477,0.618,0.614,0.572,0.245,0.398,0.393,0,0.393
"61329048010478_ereg_232",0.225,0.274,0.223,0.208,0.17,0.053,0,0,0
"61329380010478_ereg_232",0.03,0.138,0.145,0.322,0.196,0.208,0.186,0,0.186
"61330031010478_ereg_232",0.841,0.451,0.923,0.821,0.277,0.729,0.453,0,0.453
"61330498010478_ereg_232",0.075,0.084,0.08,0.161,0.245,0.216,0,0,0
"61330751010478_ereg_232",0.791,0.412,0.297,0.159,0.306,0.176,0,0,0
"61331441010478_ereg_232",0.486,0.761,0.212,0.648,0.256,0.386,0.422,0,0.422
"61331532010478_ereg_232",0.616,0.385,0.679,0.689,0.214,0.495,0.371,0,0.371
"61332184010478_ereg_232",0.138,0.277,0.371,0.534,0.333,0.364,0.314,0,0.314
"61333405010478_ereg_231",0.461,0.367,0.928,0.645,0.37,0.43,0.387,0,0.387
"61333774010478_ereg_M221",1.04,0.261,0.423,0.261,0.336,0.196,0,0,0
"61333847010478_ereg_M221",0.763,1.104,1.205,0.575,0.23,0.621,0.486,0,0.486
"61333917010478_ereg_M221",1.503,0.702,1.02,0.682,0.46,0.96,0.318,0,0.318
"61334435010478_ereg_M221",0.865,0.72,0.928,0.523,0.388,0.763,0.42,0,0.42
"61334742010478_ereg_231",0.574,0.617,0.236,0.241,0.242,0.193,0,0,0
"61334827010478_ereg_231",0.816,0.763,0.348,0.352,0.283,0.913,0,0,0
"61335060010478_ereg_231",0.881,0.94,0.636,0.307,0.117,0.369,0,0,0
"61335273010478_ereg_231",0.763,0.985,0.827,0.41,0.411,0.452,0,0,0
"61335610010478_ereg_231",0.237,0.45,0.48,0.425,0.237,0.121,0,0,0
"61336124010478_ereg_232",0.103,0.239,0.188,0.1,0,0.114,0,0,0
"61337075010478_ereg_232",0.076,0.349,0.368,0.816,0.496,0.528,0.472,0,0.472
"61337579010478_ereg_231",0.19,0.405,1.175,1.325,0.463,0.644,0.497,0,0.497
"61338488010478_ereg_232",0.842,0.679,0.486,0.284,0.399,0.257,0,0,0
"61340104010478_ereg_232",0.671,0.537,0.364,0.195,0.409,0.237,0,0,0
"61340402010478_ereg_M221",1.006,1.314,1.269,0.731,0.382,0.921,0.474,0,0.474
"61340484010478_ereg_231",1.255,0.823,1.102,0.828,1.247,0.906,0.39,0,0.39
"61340603010478_ereg_231",0.986,0.828,0.821,0.572,0.403,0.676,0.5,0,0.5
"61341107010478_ereg_232",0.454,0.267,0.274,1.011,0.201,0.259,0,0,0
"61341805010478_ereg_231",0.89,0.911,0.887,0.871,0.342,0.979,0.413,0,0.413
"61342350010478_ereg_232",0.527,0.534,0.544,0.643,0.364,0.411,0.321,0.321,0
"61342717010478_ereg_232",0.395,0.489,0.862,0.667,0.352,0.533,0.47,0,0.47
"61342807010478_ereg_231",0.312,0.562,0.737,1.017,0.179,0.716,0.5,0,0.5
"61343031010478_ereg_231",0.808,1.139,0.653,0.713,0.745,0.585,0.295,0,0.295
"61343450010478_ereg_231",0.591,0.4,1.038,0.747,0.427,0.648,0.497,0,0.497
"61345494010478_ereg_232",1.046,0.852,0.876,0.619,0.364,1.172,0.32,0,0.32
"61345593010478_ereg_232",0.862,0.746,0.593,0.525,0.209,0.235,0.115,0,0.115
"61345979010478_ereg_232",0.296,0.595,1.279,0.996,0.521,0.559,0.46,0,0.46
"61346215010478_ereg_232",0.403,0.491,0.652,0.677,0.358,0.521,0.466,0,0.466
"61347008010478_ereg_232",0.629,0.294,0.226,0.171,0.315,0.428,0,0,0
"61347911010478_ereg_M221",0.433,0.421,0.385,0.692,0.524,0.428,0.098,0,0.098
"61348066010478_ereg_231",0.801,1.451,0.599,0.421,0.127,0.239,0,0,0
"61348328010478_ereg_231",0.409,0.415,0.23,0.609,0.312,0.618,0.216,0,0.216
"61349955010478_ereg_232",0.513,0.457,0.478,0.12,0.365,0.25,0,0,0
"61350110010478_ereg_232",1.062,0.85,1.027,0.846,0.35,0.702,0.496,0,0.496
"61350196010478_ereg_232",1.005,0.985,0.311,0.319,0.59,0.164,0,0,0
"61352097010478_ereg_232",0.152,0.324,0.627,0.749,0.45,0.574,0.498,0.158,0.493
"61353711010478_ereg_231",0.865,0.681,0.456,0.336,0.424,0.687,0,0,0
"61354889010478_ereg_232",0.487,0.784,1.131,0.636,0.286,0.571,0.444,0.227,0.468
"61355070010478_ereg_232",0.215,0.495,0.39,0.208,0,0.237,0,0,0
"61356381010478_ereg_232",0.782,0.95,0.433,0.438,0.331,0.336,0.264,0,0.264
"61356830010478_ereg_232",0.899,0.637,1.021,0.705,0.254,0.507,0.466,0,0.466
"61356903010478_ereg_232",0.835,0.606,1.09,0.785,0.657,0.502,0.498,0,0.498
"61357089010478_ereg_231",0.783,0.925,0.696,0.109,0.21,0.727,0.474,0,0.474
"61357655010478_ereg_232",0.799,1.092,0.631,0.207,0.222,0.432,0.305,0.305,0
"61359760010478_ereg_231",0.309,0.13,0.245,0.293,0.099,0.201,0.141,0,0.141
"61361318010478_ereg_232",0.953,0.726,0.869,0.604,0.237,0.542,0.379,0,0.379
"61361968010478_ereg_231",0.774,0.781,0.554,0.685,0.532,0.458,0,0,0
"61362545010478_ereg_232",0.979,0.801,0.8,0.723,0.728,0.416,0.308,0,0.308
"61363782010478_ereg_232",0.554,0.343,0.292,0.213,0.196,0.104,0.049,0.049,0
"61363934010478_ereg_232",0.056,0.255,0.269,0.596,0.362,0.386,0.345,0,0.345
"61365698010478_ereg_231",0.179,0.145,0.46,0.295,0.105,0.266,0.21,0,0.21
"61367738010478_ereg_232",0.11,0.355,0.468,0.838,0.508,0.543,0.486,0,0.486
"61367862010478_ereg_232",1.013,0.544,1.01,0.768,0.33,0.495,0.468,0,0.468
"61367935010478_ereg_232",0.582,0.701,0.273,0.631,0.371,0.399,0.385,0,0.385
"61368939010478_ereg_232",0.49,0.722,0.569,0.371,0.321,0.506,0.128,0.128,0
"61369224010478_ereg_231",0.935,0.709,0.356,0.315,0.407,0.294,0,0,0
"61369655010478_ereg_232",0.29,0.31,0.785,0.195,0.079,0.179,0.125,0,0.125
"61369762010478_ereg_232",0.374,0.47,0.881,0.696,0.385,0.485,0.375,0,0.375
"61369927010478_ereg_232",0.043,0.066,0.069,0.067,0.052,0.013,0,0,0
"61370175010478_ereg_232",0,0,0,0,0,0,0,0,0
"61370676010478_ereg_231",0.794,0.907,0.493,0.276,0.198,0.486,0,0,0
"61372427010478_ereg_232",0.261,0.168,0.957,0.591,0.342,0.412,0.364,0.033,0.363
"61373547010478_ereg_232",0.069,0.303,0.322,0.706,0.429,0.457,0.409,0,0.409
"61374381010478_ereg_M221",1.169,0.635,0.638,0.658,0.379,0.695,0,0,0
"61374457010478_ereg_M221",0.536,0.511,0.355,0.386,0.466,0.332,0.303,0,0.303
"61375608010478_ereg_M221",0.662,1.094,1.366,0.582,0.274,1.188,0.494,0,0.494
"61375713010478_ereg_231",0.993,0.979,0.922,0.72,0.414,0.686,0.327,0,0.327
"61375966010478_ereg_M221",0.553,0.647,0.314,0.335,0.301,0.484,0,0,0
"61376069010478_ereg_M221",0.724,0.655,0.386,0.282,0.041,0.268,0,0,0
"61376145010478_ereg_M221",0.868,0.673,0.975,0.762,0.545,0.819,0.447,0,0.447
"61376248010478_ereg_231",1.114,1.114,1.047,0.75,0.308,0.821,0.444,0,0.444
"61376831010478_ereg_232",0.755,0.583,1.189,0.678,0.274,0.567,0.487,0,0.487
"61377632010478_ereg_231",0.948,0.996,0.761,0.933,0.3,0.631,0.453,0,0.453
"61377697010478_ereg_231",0.881,0.521,0.982,0.9,0.356,0.688,0.492,0,0.492
"61378148010478_ereg_231",0.983,0.795,0.656,0.31,0.181,0.482,0,0,0
"61378687010478_ereg_232",0.822,0.521,1.021,0.948,0.9,0.481,0.46,0,0.46
"61378759010478_ereg_231",0.952,0.897,0.539,0.36,0.242,0.265,0.16,0,0.16
"61378990010478_ereg_231",0.351,0.612,0.785,1.055,0.339,0.711,0.497,0,0.497
"61379163010478_ereg_231",0.671,1.094,0.673,0.427,0.215,0.339,0,0,0
"61379250010478_ereg_231",0.984,0.346,1.766,0.984,0.655,1.19,0.494,0,0.494
"61380527010478_ereg_232",0.89,0.68,0.841,0.706,0.519,0.492,0.464,0,0.464
"61384441010478_ereg_231",0.631,0.578,0.643,0.604,0.153,0.641,0.278,0,0.278
"61385181010478_ereg_232",0.796,0.761,0.371,0.694,0.284,0.544,0.475,0,0.475
"61385590010478_ereg_232",0.71,0.635,1.069,1.254,1.739,0.523,0.494,0,0.494
"61385636010478_ereg_232",0.842,0.736,0.24,0.086,0.051,0.19,0.037,0,0.037
"61386724010478_ereg_232",0.309,0.46,0.613,0.207,0.039,0.224,0,0,0
"61388385010478_ereg_232",0.843,0.653,0.413,0.248,0.242,0.264,0,0,0
"61388469010478_ereg_232",0.724,0.375,0.485,0.289,0.234,0.205,0.156,0,0.156
"61388684010478_ereg_232",0.634,0.602,0.466,0.826,0.362,0.55,0.481,0,0.481
"61389128010478_ereg_M221",0.705,1.284,0.587,0.382,0.324,0.302,0,0,0
"61390219010478_ereg_232",0.864,1.514,1.726,0.509,0.25,0.171,0.137,0.482,0.487
"61390865010478_ereg_231",0.48,0.354,0.748,0.509,0.188,0.404,0.362,0,0.362
"61391497010478_ereg_231",0.935,0.662,1.013,1.038,0.229,1.031,0.492,0,0.492
"61391994010478_ereg_231",0.74,0.383,0.341,0.296,0.464,0.267,0,0,0
"61392514010478_ereg_232",0.542,0.677,0.374,0.258,0.194,0.171,0,0,0
"61392912010478_ereg_231",0.228,0.466,0.768,0.449,0.375,0.237,0,0,0
"61393303010478_ereg_232",0.54,0.456,0.518,0.369,0.58,0.187,0,0,0
"61393676010478_ereg_231",0.7,0.666,0.839,0.715,0.407,0.633,0.497,0,0.497
"61393835010478_ereg_M221",0.865,1.147,0.951,0.722,0.269,0.626,0.467,0,0.467
"61393960010478_ereg_232",0,0,0,0,0,0,0,0,0
"61394000010478_ereg_231",0.511,0.413,0.871,0.496,0.25,0.297,0.364,0,0.364
"61394902010478_ereg_231",0.041,0.095,0.395,1.171,0.048,0.958,0,0,0
"61395315010478_ereg_231",0.629,0.518,0.305,0.528,0.432,0.222,0,0,0
"61395981010478_ereg_231",0.589,0.44,1.207,0.802,0.508,0.542,0.499,0,0.499
"61397389010478_ereg_232",0.785,0.542,0.98,0.634,0.216,0.411,0.438,0,0.438
"61398694010478_ereg_M221",0.763,0.705,0.533,0.698,0.412,0.84,0.474,0,0.474
"61398775010478_ereg_M221",0.774,0.821,0.891,0.635,0.393,0.91,0.497,0,0.497
"61399225010478_ereg_232",0.886,1.102,0.535,0.383,0.334,0.477,0,0,0
"61399783010478_ereg_231",0.438,0.472,0.214,0.584,0.448,0.238,0.162,0,0.162
"61400089010478_ereg_232",0.725,0.593,0.376,0.373,0.406,0.363,0.371,0,0.371
"61400290010478_ereg_232",0.438,0.349,0.565,0.212,0.306,0.19,0,0,0
"61400631010478_ereg_232",0.586,0.442,0.812,0.611,0.209,0.515,0.443,0,0.443
"61403971010478_ereg_232",0.701,0.63,0.52,0.713,0.259,0.665,0.394,0,0.394
"61404732010478_ereg_232",0.656,0.485,0.299,0.702,0.814,0.389,0.37,0,0.37
"61405204010478_ereg_232",0.234,0.44,0.549,0.539,0.34,0.333,0.266,0,0.266
"61405301010478_ereg_232",0.084,0.098,0.11,0.144,0.194,0.191,0,0,0
"61405396010478_ereg_232",0.653,0.484,0.837,0.556,0.281,0.46,0.434,0,0.434
"61407682010478_ereg_M221",0.793,0.704,0.803,0.689,0.506,0.864,0.469,0,0.469
"61408140010478_ereg_231",0.533,0.47,0.873,0.811,0.202,0.652,0.451,0,0.451
"61408261010478_ereg_231",1.043,0.53,0.882,0.767,0.277,0.667,0.386,0,0.386
"61409598010478_ereg_232",0.861,0.545,0.746,0.65,0.332,0.535,0.402,0.059,0.4
"61409877010478_ereg_M221",0.694,1.053,1.202,0.314,0.267,0.593,0.437,0,0.437
"61409938010478_ereg_231",0.642,0.632,0.686,1.223,0.27,1.172,0.492,0,0.492
"61416524010478_ereg_232",0.12,0.356,0.506,0.639,0.389,0.432,0.408,0.208,0.371
"61417550010478_ereg_232",0.147,0.217,0.76,0.203,0.159,0.102,0,0,0
"61417749010478_ereg_231",0.312,0.248,0.771,0.554,0.464,0.452,0.366,0,0.366
"61418165010478_ereg_231",1.073,1.034,0.761,0.659,0.381,0.67,0.315,0,0.315
"61418926010478_ereg_231",1.085,0.963,0.864,0.597,0.357,0.573,0.068,0,0.068
"61419004010478_ereg_232",0.218,0.471,0.547,0.484,0.229,0.439,0.277,0,0.277
"61419122010478_ereg_232",0.778,0.801,0.78,0.715,0.286,0.485,0.482,0,0.482
"61419273010478_ereg_232",0,0,0,0,0,0,0,0,0
"61419568010478_ereg_232",0.072,0.309,0.365,0.733,0.443,0.488,0.433,0,0.433
"61421071010478_ereg_232",0.881,1.403,1.366,0.581,0.279,0.614,0.499,0.454,0.428
"61421546010478_ereg_232",0.622,0.396,0.507,0.31,0.243,0.214,0.17,0,0.17
"61422320010478_ereg_232",0.297,0.508,0.415,0.348,0.097,0.3,0.159,0,0.159
"61422538010478_ereg_232",0.432,0.179,0.812,0.453,0.201,0.374,0.304,0,0.304
"61422812010478_ereg_232",0.529,0.348,1.187,0.681,0.348,0.588,0.483,0,0.483
"61424117010478_ereg_232",0.601,0.473,0.803,0.597,0.25,0.534,0.459,0,0.459
"61424231010478_ereg_232",0.887,0.778,0.421,0.281,0.097,0.283,0.195,0,0.195
"61425021010478_ereg_231",1.076,0.772,1.109,0.821,0.431,0.732,0.426,0,0.426
"61425720010478_ereg_232",0.748,0.491,1.144,0.692,0.326,0.484,0.456,0.145,0.466
"61426009010478_ereg_232",0.317,0.389,1.049,0.814,0.49,0.561,0.5,0.226,0.497
"61426219010478_ereg_232",0.642,1.576,0.855,0.663,0.302,0.419,0.434,0.464,0.498
"61426467010478_ereg_231",1.013,0.942,0.936,0.637,0.22,0.482,0.431,0,0.431
"61426870010478_ereg_232",0.16,0.235,0.272,0.418,0.265,0.266,0.234,0.033,0.232
"61427283010478_ereg_232",0.271,0.512,0.487,0.494,0.221,0.412,0.279,0,0.279
"61427340010478_ereg_232",0.022,0.102,0.108,0.239,0.145,0.155,0.139,0,0.139
"61428236010478_ereg_231",0.15,0.121,0.189,0.277,0.085,0.216,0.143,0,0.143
"61428291010478_ereg_232",0.898,0.742,1.073,0.895,0.836,0.558,0.5,0,0.5
"61428585010478_ereg_231",0.31,0.313,0.584,1.096,0.423,0.223,0,0,0
"61428650010478_ereg_231",0.634,1.033,0.415,0.359,0.435,0.367,0,0,0
"61428798010478_ereg_231",0.011,0.025,0.105,0.311,0.013,0.254,0,0,0
"61431247010478_ereg_232",0.032,0.049,0.051,0.05,0.039,0.01,0,0,0
"61431897010478_ereg_232",0,0,0,0,0,0,0,0,0
"61433563010478_ereg_232",0.875,0.606,0.488,0.374,0.174,0.323,0.25,0,0.25
