"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100187768010478_ereg_M221",1.078,0.551,0.494,-0.839,-1.123,-0.293,0.883,0,0.117
"100188040010478_ereg_M221",0.083,-0.631,0.767,0.435,-0.366,0.217,1,0,0
"100188181010661_ereg_212",-0.954,-1.091,-0.216,-0.98,-0.916,-0.887,0.086,0,0.914
"100188196010478_ereg_M221",0.41,-0.587,1.707,-0.291,-0.482,-0.441,0.495,0,0.505
"100188300010661_ereg_212",-0.334,-0.183,0.067,-0.399,0.045,-0.174,0.693,0,0.307
"100188332010478_ereg_M221",0.929,0.399,0.737,-0.386,-0.888,0.07,0.819,0,0.181
"100188427010478_ereg_M221",1.2,0.655,0.63,0.265,-0.517,0.168,1,0,0
"100188608010478_ereg_M221",1.076,0.706,0.218,-0.693,-1.089,0.005,0.993,0,0.007
"100188630010661_ereg_212",-1.644,-1.581,-0.574,0.74,0.248,0.146,0.866,0,0.134
"100188711010661_ereg_212",-0.043,-0.062,-0.03,-0.059,-0.038,-0.048,0.957,0,0.043
"100188743010478_ereg_M221",1.115,0.528,0.167,0.298,-0.314,0.309,1,0,0
"100188849010478_ereg_M221",0.791,0.478,0.452,-0.1,-0.699,0.094,0.74,0,0.26
"100188916010478_ereg_M221",0.808,0.469,0.607,0.289,-0.365,0.546,0.938,0,0.062
"100188976010478_ereg_M221",0.05,-0.097,-0.077,-0.018,0.182,-0.037,1,0,0
"100189113010478_ereg_M221",-0.062,-0.597,0.611,0.63,-0.072,0.37,1,0,0
"100189203010478_ereg_M221",1.234,0.878,0.383,0.304,-0.434,0.564,1,0,0
"100189204010661_ereg_212",-0.425,-0.444,-0.191,-0.437,-0.288,-0.216,0.681,0,0.319
"100189246010661_ereg_212",-0.178,0.357,0.503,0.009,0.361,0.407,0.978,0,0.022
"100189360010661_ereg_212",-0.726,-0.28,-0.048,-0.344,0.043,0.049,0.68,0,0.32
"100189454010478_ereg_M221",1.225,1.151,0.292,0.423,-0.542,0.884,0.992,0,0.008
"100189504010661_ereg_212",-0.832,-0.173,-0.309,-0.072,-0.09,0.615,1,0,0
"100189513010478_ereg_M221",0.983,0.408,0.43,0.007,-0.494,0.402,0.949,0,0.051
"100189622010478_ereg_M221",1.3,1.282,0.369,0.248,-0.563,0.42,1,0,0
"100189644010661_ereg_212",-1.128,-0.915,-0.261,0.129,0.179,0.003,0.832,0,0.168
"100189794010661_ereg_212",-0.303,-0.094,0.167,0.019,0.225,0.253,0.995,0,0.005
"100189946010661_ereg_212",-0.54,-0.549,0.472,-0.214,0.176,-0.08,0.654,0,0.346
"100190012010478_ereg_M221",0.304,0.61,0.578,0.127,0.256,0.366,1,0,0
"100190054010661_ereg_212",1.406,0.315,0.135,0.158,-0.597,0.118,0.962,0,0.038
"100190156010661_ereg_212",-0.584,-0.724,0.505,-0.797,-0.457,-0.423,0.509,0,0.491
"100190326010478_ereg_M221",0.777,0.34,0.178,-0.041,-0.472,0.292,1,0,0
"100190399010661_ereg_212",-0.87,-1.102,-0.007,-0.821,-0.841,-0.898,0.054,0,0.946
"100190442010478_ereg_M221",0.101,0.019,0.59,-0.249,-0.563,-0.109,0.794,0,0.206
"100190452010661_ereg_212",-0.845,-1.282,0.453,-0.681,-0.633,-0.723,0.273,0,0.727
"100190596010478_ereg_M221",-0.382,-0.616,-0.831,-0.292,0.01,-1.156,0.311,0,0.689
"100190664010661_ereg_212",-0.121,-0.02,0.061,-0.249,0.019,0.204,1,0,0
"100190701010478_ereg_M221",-0.165,-0.633,0.125,-0.072,-0.443,0.198,0.998,0,0.002
"100190754010661_ereg_212",-0.034,-0.758,0.471,0.845,1.148,0.563,1,0,0
"100190909010478_ereg_M221",0.325,-0.356,0.871,0.546,-0.639,0.552,1,0,0
