"","lon","lat","phys","slope","aspect"
"121327147010478",-93.534255,35.942905,2,8,280
"121332902010478",-93.363948,35.964873,2,25,258
"121310277010478",-94.296982,35.871182,2,12,350
"62286633010538",-73.176302,41.352239,2,46,336
"65356214010538",-75.590624,38.760298,3,0,0
"20280683010478",-86.860317,30.973855,2,11,90
"20272727010478",-80.546662,27.127422,2,0,0
"20256295010478",-82.338082,29.817552,2,0,0
"20234133010478",-84.986922,30.515481,3,0.5,0
"20263423010478",-82.05452,27.167803,2,0,0
"90806457010478",-81.462691,29.369803,3,0,0
"90825536010478",-85.096873,30.07535,2,2,0
"20230807010478",-81.618148,29.053176,1,1,0
"90802139010478",-80.28248,26.928368,2,0,0
"61343450010478",-83.681378,33.827515,2,9,185
"61370676010478",-84.640952,33.723267,2,19,72.5
"29168981010478",-83.755389,34.820934,1,19,137
"76374096010478",-82.362818,33.309814,2,0,0
"76324533010478",-83.518387,32.387067,3,0,0
"76328135010478",-84.239161,32.284937,2,17,60
"76313807010478",-83.284399,32.853578,2,2.5,78
"76345274010478",-83.84585,33.701672,2,22,37
"76413369010478",-84.531696,34.284694,2,34,286.5
"76352246010478",-83.742987,34.795691,1,76.5,163.5
"76738748010478",-83.048437,30.78495,2,0,0
"76920692010478",-83.260969,31.305414,2,0,0
"76699815010478",-84.584895,32.916203,2,18,329
"76951954010478",-83.711003,34.940719,1,49,288
"123953120010478",-84.587283,33.678934,2,0,0
"123958516010478",-83.869162,33.905712,2,11,186
"123932706010478",-84.150064,33.199372,2,0,0
"70013895010661",-87.796143,40.072806,2,2,0
"86085901010661",-88.715095,37.522155,2,23,15
"102166282010661",-90.813067,39.393303,2,25,268
"102163408010661",-88.050961,39.615585,2,8,340
"102492549010661",-90.968673,39.423482,2,0,0
"95853644010661",-85.294811,40.10732,2,10,4
"102498024010661",-86.205359,39.138769,2,30,50
"74593949010478",-82.84654,38.544552,2,21,267
"74746740010478",-83.022469,37.342503,2,46,311
"74668330010478",-83.346106,37.346633,2,66.5,321
"74732745010478",-83.272097,37.501043,2,55.5,120.5
"74615981010478",-84.817005,38.355327,2,32,24.5
"74787063010478",-87.732363,37.361927,3,0,0
"74597272010478",-87.477659,37.428791,2,10,230
"74759607010478",-87.042234,37.533638,2,21,293
"74632910010478",-82.749187,37.528452,2,35,296
"74599677010478",-82.817785,37.364937,2,51,75.5
"74627346010478",-83.039082,38.305358,2,43.5,302
"74699195010478",-87.04651,36.853431,2,10,320
"29114989010478",-83.231079,37.253684,2,41.5,232.5
"75593379010478",-82.424672,37.475823,2,44.5,270
"75589881010478",-84.079667,38.415145,2,15,175.5
"75609326010478",-84.926075,37.183006,2,24.5,88
"95302060010478",-83.048903,37.437757,2,69,200
"95314673010478",-83.199021,37.828951,1,28.5,206.5
"95297691010478",-83.95831,37.52131,2,16,30
"95288886010478",-85.322656,36.888734,2,48,98
"70529735010478",-91.496989,32.016784,2,0,0
"70441114010478",-92.418581,32.974048,3,0,0
"70368853010478",-93.38595,31.453196,2,0,0
"62269052010538",-71.782647,42.012392,2,0,0
"74367074010538",-73.273417,42.609258,2,44,110
"74375653010538",-71.345442,42.483063,3,0,0
"74379984010538",-71.957835,42.636847,2,19,117
"122557193010661",-76.606666,38.334926,2,3,150
"53062847010538",-67.545658,45.234126,2,0,0
"53092622010538",-69.059469,44.821414,2,0,0
"53082701010538",-69.920022,44.234067,2,4,22.5
"53046928010538",-70.128204,45.423928,2,0,0
"53049810010538",-69.749772,45.139547,2,6,160
"70556188010538",-68.17936,45.12068,2,6,30
"70553893010538",-68.57862,44.39909,2,9,175
"70604067010538",-69.98548,44.11271,2,7,300
"70562871010538",-70.5331,44.64429,2,50,170
"70377497010538",-68.11337,46.09703,2,8,10
"70375788010538",-68.34312,45.56144,2,0,0
"70375431010538",-68.53994,45.83927,2,0,0
"70409074010538",-69.93709,44.37255,2,7,310
"70439640010538",-70.37922,45.27443,2,0,0
"75780818010538",-67.9935,45.58954,2,8,155
"75794780010538",-68.77137,46.44455,3,0,0
"75802522010538",-68.16168,46.42162,2,8,310
"75852216010538",-69.25336,45.02373,2,11,151
"75785588010538",-70.54178,43.55211,2,40,215
"75785056010538",-70.71099,43.33135,2,6,95
"75975757010538",-67.83225,46.0832,2,8,82
"75975953010538",-69.06041,46.96744,2,5,322
"75976573010538",-69.89531,45.05868,2,0,0
"75976783010538",-70.17949,44.91802,2,8,359
"75976891010538",-70.754,44.69465,2,7,209
"89738415010661",-85.588234,46.634995,2,0,0
"89845983010661",-88.166595,46.737943,2,0,0
"89770858010661",-88.465774,47.131176,2,10,5
"89699882010661",-84.548386,45.099019,2,0.5,0
"89835583010661",-86.184273,42.691308,1,5,139
"89778063010661",-82.996693,43.708311,2,1.5,0
"100242540010661",-83.544313,45.963312,2,0,0
"100260549010661",-86.901294,46.051926,2,0,0
"104973707010661",-86.537294,46.108882,2,20,57
"104970251010661",-88.774946,46.520457,1,0,0
"100228176010661",-88.249752,47.380539,2,1.5,0
"100203867010661",-89.241929,46.893494,2,0,0
"100238566010661",-85.822793,41.866527,3,0,0
"100225136010661",-85.713485,42.172745,1,12,159
"102447164010661",-86.587463,46.230105,2,6,24
"102451385010661",-88.83341,46.217792,2,5,300
"102444068010661",-88.883803,46.399809,2,12,220
"102442490010661",-84.347691,45.327623,2,2,0
"102450668010661",-85.928189,43.97495,2,10,219
"102442778010661",-84.751351,44.94652,1,0.5,0
"102442361010661",-84.573604,44.24647,2,2,0
"102514344010661",-86.551261,46.187994,3,0,0
"102517482010661",-88.031909,46.688915,2,38,15
"102509931010661",-88.361268,46.679381,2,6,355
"102517635010661",-88.754779,46.227047,2,0,0
"102509727010661",-87.216068,46.403365,2,0,0
"102513786010661",-89.104073,46.462932,2,25,284
"102507357010661",-83.349848,42.732422,3,0,0
"68863360010661",-93.456194,46.289344,3,0,0
"68751515010661",-95.439234,44.873922,2,0,0
"92240453010661",-92.306049,47.254997,2,8,330
"92636680010661",-93.339388,46.793134,3,0,0
"92270057010661",-93.820996,47.705744,2,5,135
"92317251010661",-96.437307,47.29821,2,0,0
"99273894010661",-93.092908,46.606148,2,0,0
"98944804010661",-95.311745,47.187416,2,5,140
"98987939010661",-95.923671,46.536172,2,11,45
"98918703010661",-94.913475,45.331023,2,5,170
"102452498010661",-90.932282,47.531335,2,10,110
"102454472010661",-93.499512,47.943844,3,0,0
"102453578010661",-92.618279,47.840281,3,0,0
"102453641010661",-93.11076,46.481555,3,0,0
"102459656010661",-93.807645,47.42993,3,0,0
"102462563010661",-93.858022,45.796445,2,0,0
"102460358010661",-94.966167,45.973164,3,0,0
"102557044010661",-92.677058,46.544828,2,0,0
"102557227010661",-92.639585,48.174117,2,2,0
"102562084010661",-91.994857,47.838519,2,0,0
"102562867010661",-92.787118,48.539545,1,16,360
"102557587010661",-93.379694,46.662599,2,0,0
"102564640010661",-94.731295,48.226416,3,0,0
"102562936010661",-93.1306,47.13188,2,5,275
"102564622010661",-94.61049,48.578455,2,0,0
"102562696010661",-93.124968,46.096747,2,1.5,0
"70372952010661",-94.236622,36.627228,1,60,70
"70246941010661",-92.796591,36.660027,1,16,220
"70315281010661",-92.881579,37.67191,1,11,190
"70210001010661",-93.548519,37.925848,2,13,2
"92154930010661",-91.197485,36.731672,1,35,298
"92113761010661",-91.119353,37.296327,1,32,148
"92140222010661",-90.37014,37.089566,1,14,225
"92185359010661",-92.31804,37.644695,1,7,65
"92147936010661",-92.51129,38.212619,1,20,5
"92163042010661",-92.290621,37.756281,1,40,10
"92122004010661",-93.050783,39.034612,2,6,150
"92201282010661",-89.521217,37.445689,1,30,214
"92121442010661",-90.545404,38.543765,1,27,280
"97512704010661",-90.593575,37.340581,1,9,170
"97486474010661",-90.980193,36.701123,2,7,56
"97480025010661",-91.993904,37.786386,1,16,140
"97514966010661",-93.829688,38.89557,2,18,55
"97525675010661",-92.16256,38.729327,2,33,269.5
"102467891010661",-92.290664,37.549294,1,13,246
"102530331010661",-91.438535,36.906217,1,2,0
"102533397010661",-92.853288,37.243539,1,24,34
"102531207010661",-92.091221,39.519236,2,4,0
"100569341010478",-88.710402,33.184057,2,1,0
"100555090010478",-88.958947,32.843021,2,0,0
"85213944010478",-89.426313,30.734095,2,0,0
"29983115010478",-77.028149,34.981744,2,0,0
"29962159010478",-78.637006,36.521042,2,0,0
"29989647010478",-75.800908,35.918812,3,0,0
"30127280010478",-81.894635,36.190142,1,41,215
"29935411010478",-82.104539,35.65056,1,46,335
"29955522010478",-81.025641,35.204008,2,7.5,297.5
"29943925010478",-82.643455,35.441396,2,42,270
"55120059010478",-76.690582,35.336146,2,0,0
"54981163010478",-80.038343,35.533447,2,13.5,182.5
"94606099010478",-83.494338,35.279406,2,30,46
"54988182010478",-78.298726,35.21997,2,0,0
"55076542010478",-77.042834,35.843285,3,0,0
"55064054010478",-82.924085,35.661739,2,47.5,35
"54994000010478",-78.478687,36.511509,2,20,38
"70110768010661",-101.240099,47.229188,2,0.5,0
"102473744010661",-98.088657,48.931064,2,15,325
"102543144010661",-97.854619,48.858259,2,7,205
"102538920010661",-95.934419,40.795432,2,6,35
"55890327010538",-71.213142,43.139676,2,15,25
"62235569010538",-71.433257,44.439938,2,45,262
"63289972010538",-72.425835,42.970617,2,12,147
"62245662010538",-72.012453,43.505661,2,36,205
"73078977010538",-71.399896,44.72421,2,33,350
"73076512010538",-71.22186,44.439945,2,10,91
"73091309010538",-72.332179,43.41708,2,9,300
"65402075010538",-75.304546,39.554402,2,0,0
"122559739010661",-74.898836,41.152612,2,30,312.5
"53735706010538",-74.183285,44.418245,2,0,0
"53758754010538",-73.653676,44.36808,2,22,293
"53697696010538",-77.125539,42.182766,2,16.5,264.5
"53740053010538",-73.852725,42.467817,2,0,0
"53913277010538",-77.683128,43.140032,2,0,0
"53916483010538",-76.295015,43.174291,2,0,0
"53967253010538",-74.024118,43.576417,2,26,44
"53958949010538",-77.597988,42.158139,2,20,82
"53964030010538",-76.407828,42.349592,2,0,0
"53965668010538",-74.049497,42.092562,2,0,0
"65172223010538",-74.760357,44.290439,2,5,341
"65198384010538",-77.968363,42.67962,2,34.5,116
"64276474010538",-74.861559,43.587398,2,21,151
"65158265010538",-74.456237,43.877125,2,27.5,70
"74906809010538",-76.130696,44.131973,2,0,0
"74934847010538",-74.141094,44.040242,2,16,147
"74951942010538",-74.959132,42.028493,2,16,280
"65148365010538",-73.412808,42.481675,2,0,0
"122564187010661",-75.172399,44.159761,2,25,110
"122563715010661",-74.658848,43.261452,2,13,97
"122564067010661",-75.08006,43.716461,2,12,3
"122563697010661",-74.317093,43.796984,2,15,341
"122563561010661",-73.886271,43.587226,2,25,270
"122563445010661",-74.074611,42.982886,3,0.5,0
"59855507010538",-84.63582,39.686935,2,8,30
"72785777010538",-83.269347,40.628466,2,0,0
"76389346010538",-81.846653,40.114229,2,22,220
"157322023010478",-94.567231,34.158297,2,49.5,194
"124107776010478",-95.45207,35.324198,2,9.5,135.5
"58378090010538",-76.503766,41.629343,2,0,0
"58530536010538",-79.100917,41.893376,2,35,150
"58546543010538",-78.50955,40.521548,2,10,132
"58546452010538",-78.342848,40.530443,1,55,260
"58565061010538",-75.765603,41.389858,2,21,138
"58548382010538",-74.799019,40.128329,2,0,0
"68281938010538",-78.35467,41.63615,2,20,38
"68324856010538",-78.98493,41.73683,2,0,0
"76863283010538",-78.13838,41.34442,2,50,108.5
"76897206010538",-78.98709,41.37258,2,23,224
"76906474010538",-78.97413,41.07632,2,2.5,50
"76862305010538",-78.52841,40.67402,2,15,205
"122561924010661",-78.22476,39.91778,2,1,0
"122561196010661",-75.4098,41.21406,2,0,0
"55942642010538",-71.588627,41.598184,2,14,283
"24032140010478",-79.384163,33.480762,2,0,0
"23988670010478",-79.684594,34.017256,2,0,0
"24089848010478",-82.431856,35.056882,2,14.5,329
"75725523010478",-82.354713,33.96757,2,19,351
"126130337010478",-81.120208,32.57133,2,0,0
"126128993010478",-78.96626,33.670182,2,2,0
"126130905010478",-80.443238,34.406911,1,1,0
