"latitude","longitude","elevation"
"103",46.5672,-87.9543,505.834533691406
"104",46.5638,-87.7729,503.500274658203
"105",38.7247,-79.0329,719.733642578125
"106",46.5713,-87.5964,410.134216308594
"107",38.6494,-79.0626,653.989013671875
"108",36.8469,-82.391,490.940277099609
"109",46.5104,-87.4521,317.187133789062
"110",46.6367,-87.5332,244.47021484375
"111",46.7808,-87.9852,424.198944091797
"112",36.9153,-82.2502,511.053894042969
"113",46.8785,-87.9961,330.681243896484
"114",46.8626,-87.8391,207.968078613281
"115",36.8113,-82.6781,872.209533691406
"116",46.4101,-87.4606,365.867340087891
"117",36.8186,-82.5017,415.639343261719
"118",46.2054,-87.4819,334.167877197266
"119",36.7325,-82.4143,585.972717285156
"120",46.1092,-87.2438,305.409240722656
"121",36.7347,-82.5678,644.548889160156
"122",46.4858,-87.7972,496.533996582031
"123",38.78,-78.5256,561.875549316406
"124",44.0347,-86.0835,235.515808105469
"125",38.9257,-78.4324,223.822952270508
"126",38.8557,-78.4708,447.828979492188
"127",43.9548,-86.1006,222.084335327148
"128",39.0085,-78.557,730.7041015625
"129",38.863,-78.7904,592.385070800781
"130",36.8758,-81.5522,766.098754882812
"131",36.7156,-81.4944,997.3046875
"132",36.8889,-81.4427,779.057739257812
"133",36.8813,-81.7199,710.046508789062
"134",36.6913,-77.1884,42.042106628418
"135",36.8884,-76.8974,30.1337051391602
"136",45.9396,-87.5054,307.819458007812
"137",38.0844,-77.7924,92.7158432006836
"138",45.8685,-87.5425,297.988952636719
"139",45.7299,-87.4227,241.815963745117
"140",38.1812,-77.5035,73.1889038085938
"141",45.7143,-87.7669,280.675079345703
"142",38.1201,-77.869,109.857849121094
"143",45.5562,-87.6993,245.546356201172
"144",38.4071,-77.5821,103.006874084473
"145",38.488,-77.5162,70.107048034668
"146",38.4031,-77.388,59.4732780456543
"147",45.1879,-87.6834,198.138977050781
"148",43.6687,-84.5374,218.104461669922
"149",43.5475,-84.4806,215.626907348633
"150",43.5227,-84.2478,194.137405395508
"151",36.852,-77.2442,37.3812484741211
"152",43.7511,-84.4746,208.369430541992
"153",37.0809,-77.1279,44.9035835266113
"154",44.2703,-84.9166,341.609283447266
"155",44.4618,-85.0459,384.658599853516
"156",37.0262,-78.9451,161.875411987305
"157",43.4335,-85.4894,267.658020019531
"158",43.2858,-85.2392,275.734436035156
"159",36.7056,-78.7902,118.006805419922
"160",36.5816,-79.0267,161.752227783203
"161",45.1232,-84.1398,286.151977539062
"162",36.9483,-78.9618,161.456497192383
"163",37.8759,-77.6914,90.2923965454102
