"plotLon","plotLat"
"100225146010478_ereg_232",-77.3542,36.9421
"100225219010661_ereg_212",-85.1749,44.844
"100225529010478_ereg_M221",-81.7318,37.1171
"100225624010661_ereg_212",-84.8613,44.8378
"100225651010478_ereg_M221",-81.6332,37.0503
"100225714010478_ereg_M221",-81.4843,37.0413
"100225809010478_ereg_M221",-81.3718,37.2648
"100226005010478_ereg_M221",-81.5712,37.1933
"100226028010661_ereg_212",-85.2593,44.6551
"100226097010478_ereg_M221",-81.6752,36.9552
"100226204010661_ereg_212",-84.9488,44.6105
"100226255010661_ereg_212",-85.143,44.5258
"100226422010478_ereg_M221",-82.1582,36.6431
"100226638010478_ereg_M221",-81.948,36.7479
"100226815010478_ereg_M221",-81.8883,36.8821
"100227132010478_ereg_M221",-81.6609,36.6365
"100227372010478_ereg_232",-76.854,38.1545
"100227608010478_ereg_M221",-82.6499,36.8938
"100227750010661_ereg_212",-87.7451,47.4208
"100227964010661_ereg_212",-88.1686,47.3566
"100228106010478_ereg_M221",-81.3586,36.9529
"100228176010661_ereg_212",-88.2498,47.3805
"100228216010478_ereg_M221",-81.1347,36.7933
"100228358010478_ereg_M221",-80.9257,36.865
"100228393010478_ereg_M221",-81.0886,36.8613
"100228461010478_ereg_M221",-81.0135,37.0141
"100228530010478_ereg_M221",-81.1688,37.0243
"100228544010661_ereg_212",-89.1714,47.9136
"100228625010661_ereg_212",-88.7399,48.084
"100228720010478_ereg_232",-76.368,36.6495
"100228780010478_ereg_232",-76.3558,36.6976
"100229134010661_ereg_212",-85.5791,43.9733
"100229503010661_ereg_212",-85.7565,43.9724
"100229957010478_ereg_232",-76.5314,36.6705
"100229966010661_ereg_212",-85.9703,43.9835
"100230164010478_ereg_232",-76.4999,36.7343
"100230742010661_ereg_212",-85.6216,45.0512
"100231386010661_ereg_222",-84.0373,42.4986
"100231983010661_ereg_212",-85.8346,46.4564
"100232355010661_ereg_212",-85.4789,46.4485
"100232649010661_ereg_212",-85.5126,46.3865
"100232690010661_ereg_212",-85.3323,46.363
"100232990010661_ereg_212",-85.7765,46.6039
"100233123010661_ereg_212",-85.4043,46.6178
"100233238010661_ereg_212",-85.384,46.2868
"100233576010661_ereg_212",-85.2285,46.2181
"100233810010661_ereg_212",-85.4596,46.1395
"100234477010661_ereg_212",-84.8367,45.901
"100234823010661_ereg_212",-85.7649,46.2127
"100235062010661_ereg_212",-85.0967,46.1332
"100235240010661_ereg_212",-84.4608,45.777
"100235417010661_ereg_212",-84.3839,45.7563
"100235719010661_ereg_212",-84.9304,46.1282
"100235922010661_ereg_212",-84.7481,46.0754
"100236211010661_ereg_212",-84.8619,45.9184
"100236269010661_ereg_212",-84.5614,46.0721
"100236743010661_ereg_212",-86.2288,44.4969
"100237093010661_ereg_212",-85.9101,44.4206
"100237412010661_ereg_212",-85.8578,44.184
"100237733010661_ereg_212",-87.8651,46.7092
"100237985010661_ereg_222",-85.1402,41.9686
"100238229010661_ereg_222",-85.0247,42.2007
"100238566010661_ereg_222",-85.8228,41.8665
"100238689010661_ereg_212",-85.5153,45.5994
"100239015010661_ereg_212",-84.8412,45.2072
"100239130010661_ereg_212",-84.8667,45.1457
"100239213010661_ereg_212",-85.3256,45.2905
"100239295010661_ereg_212",-84.7186,45.7543
"100239460010661_ereg_212",-84.2967,45.6108
